"barcode","ptype","circ"
"21743004816534","4","8"
"21743004655635","6","8"
"21743004101010","19","8"
"21743004083861","0","8"
"21743003763554","10","8"
"21743002386266","0","8"
"21743004512992","2","8"
"21743004038113","0","8"
"21743005284427","10","8"
"21743005475710","0","8"
"21743005198205","0","8"
"21743004554523","0","8"
"21743005109152","0","8"
"21743005337159","2","8"
"21743005195250","1","8"
"21743005150008","2","8"
"21743005183546","0","8"
"21743005459607","0","8"
"21743005288592","3","8"
"21743005345053","0","8"
"21743005377320","0","8"
"21743005141098","1","8"
"21743005527361","1","8"
"21743005480900","0","8"
"21743005596242","0","8"
"21743005312921","6","8"
"21743005362389","0","8"
"21743003514486","0","8"
"21743003486271","0","8"
"21743003512191","0","8"
"21743003056900","0","8"
"21743004003604","4","8"
"21743003339686","6","8"
"21743004833554","0","8"
"21743005388285","0","8"
"21743004917696","2","8"
"21743004520755","2","8"
"21743004774972","2","8"
"21743005725015","0","8"
"21743002313641","8","8"
"21743002371664","0","8"
"21743002387595","0","8"
"21743004044269","4","8"
"21743001177880","0","8"
"21743001192012","12","8"
"21743004040903","0","8"
"21743004022943","8","8"
"21743005677539","1","8"
"21743005430434","2","8"
"21743005128012","1","8"
"21743005691100","12","8"
"21743005675707","0","7"
"21743005721394","0","7"
"21743005724018","2","7"
"21743003342672","6","7"
"21743002432326","0","7"
"21743004954855","4","7"
"21743000703090","0","7"
"21743005510201","10","7"
"21743003171279","0","7"
"21743002388247","0","7"
"21743004712717","0","7"
"21743001524347","0","7"
"21743004015228","2","7"
"21743003149457","2","7"
"21743004088050","2","7"
"21743005245865","0","7"
"21743003945391","6","7"
"21743004795654","3","7"
"21743005702154","2","7"
"21743005319280","1","7"
"21743004675922","0","7"
"21743004989182","2","7"
"21743004548426","8","7"
"21743005236872","0","7"
"21743003930286","8","7"
"21743003773793","6","7"
"21743004697603","0","7"
"21743004589503","0","7"
"21743003231362","0","7"
"21743004954707","0","7"
"21743003234358","0","7"
"21743003360963","0","7"
"21743003406444","0","7"
"21743005660071","2","7"
"21743005659578","2","7"
"21743005700133","2","7"
"21743005668629","1","7"
"21743005057849","0","7"
"21743005177589","2","7"
"21743005576616","0","7"
"21743005587019","0","7"
"21743004946497","2","7"
"21743005167465","3","7"
"21743005167168","12","7"
"21743005148747","0","7"
"21743005463815","2","7"
"21743004989059","0","7"
"21743004981650","6","7"
"21743005134887","0","7"
"21743005204391","0","7"
"21743005306527","0","7"
"21743005114947","7","7"
"21743005350061","1","7"
"21743005244348","0","7"
"21743000521583","0","7"
"21743005320593","2","7"
"21743004006011","0","7"
"21743005059316","0","7"
"21743004982146","0","7"
"21743005483060","1","7"
"21743005144373","0","7"
"21743005610670","2","7"
"21743005298872","0","7"
"21743004044178","0","7"
"21743005306584","0","7"
"21743005705108","3","7"
"21743005489117","0","7"
"21743004006201","2","7"
"21743005111430","6","7"
"21743005601471","1","7"
"21743004676144","1","7"
"21743005730379","0","7"
"21743004628905","0","7"
"21743004086682","0","7"
"21743004806659","0","7"
"21743003509213","0","7"
"21743004782280","0","7"
"21743004053229","1","7"
"21743004886099","0","7"
"21743004647632","9","7"
"21743003973724","2","7"
"21743004932968","0","7"
"21743003570520","2","7"
"21743003937935","6","7"
"21743004698965","2","7"
"21743003992468","4","7"
"21743005475363","8","7"
"21743002900306","4","7"
"21743005077045","0","7"
"21743005477997","19","7"
"21743005138862","0","7"
"21743005332127","1","7"
"21743005469382","0","7"
"21743005177266","0","7"
"21743004792560","0","7"
"21743005196829","0","7"
"21743005270806","5","7"
"21743005137310","19","7"
"21743005288030","2","7"
"21743005011499","8","7"
"21743003979283","2","7"
"21743002987444","6","7"
"21743004895967","8","7"
"21743004626107","2","7"
"21743003928959","0","7"
"21743005195631","1","7"
"21743004906293","10","7"
"21743005148457","0","7"
"21743003350337","2","7"
"21743003223211","0","7"
"21743005265541","4","7"
"21743003633211","1","6"
"21743003265162","0","6"
"21743005265434","0","6"
"21743005233879","6","6"
"21743005176318","0","6"
"21743004549192","8","6"
"21743005201108","6","6"
"21743003374063","0","6"
"21743004655288","6","6"
"21743004913570","0","6"
"21743005002977","0","6"
"21743004700142","0","6"
"21743004797312","0","6"
"21743004893269","6","6"
"21743003016540","0","6"
"21743005556485","0","6"
"21743005212733","0","6"
"21743005468590","0","6"
"21743005242367","2","6"
"21743005372719","2","6"
"21743004009023","4","6"
"21743005477302","0","6"
"21743005372701","3","6"
"21743005333521","8","6"
"21743005343314","0","6"
"21743005293873","2","6"
"21743005073820","6","6"
"21743005060744","0","6"
"21743005075452","0","6"
"21743005072863","1","6"
"21743005573928","10","6"
"21743004031803","0","6"
"21743004553558","8","6"
"21743004005807","8","6"
"21743004737573","10","6"
"21743004765210","1","6"
"21743004007415","4","6"
"21743002004042","0","6"
"21743004029773","0","6"
"21743004592382","2","6"
"21743003700705","6","6"
"21743003986015","0","6"
"21743004546156","2","6"
"21743004008298","4","6"
"21743003295409","4","6"
"21743004030763","0","6"
"21743004035994","0","6"
"21743003994100","12","6"
"21743003201126","6","6"
"21743004572756","0","6"
"21743001350149","0","6"
"21743005144514","0","6"
"21743002411338","8","6"
"21743004882122","0","6"
"21743004111225","4","6"
"21743001003151","0","6"
"21743004059234","4","6"
"21743004837126","0","6"
"21743004001251","0","6"
"21743004032512","19","6"
"21743004537668","0","6"
"21743001340538","0","6"
"21743004032249","2","6"
"21743005693122","2","6"
"21743005700844","0","6"
"21743005384532","2","6"
"21743005203096","6","6"
"21743005399126","1","6"
"21743005729116","6","6"
"21743005600374","0","6"
"21743005266598","8","6"
"21743005270095","1","6"
"21743005141916","0","6"
"21743003344926","6","6"
"21743005480496","0","6"
"21743005605340","0","6"
"21743005591953","2","6"
"21743005215710","1","6"
"21743005289376","0","6"
"21743005661681","0","6"
"21743005574041","2","6"
"21743005318845","2","6"
"21743004841367","0","6"
"21743005374749","0","6"
"21743005560818","0","6"
"21743005358270","0","6"
"21743005370283","0","6"
"21743005333216","0","6"
"21743005359484","0","6"
"21743005121942","2","6"
"21743005200043","1","6"
"21743005176532","2","6"
"21743005204789","0","6"
"21743005179502","19","6"
"21743004824652","1","6"
"21743005190046","0","6"
"21743004840252","1","6"
"21743005577200","2","6"
"21743005495106","0","6"
"21743005568050","1","6"
"21743005285564","3","6"
"21743005560552","2","6"
"21743005475579","11","6"
"21743005374483","3","6"
"21743005528542","4","6"
"21743005594056","0","6"
"21743005724224","19","6"
"21743005538715","2","6"
"21743005610746","1","6"
"21743003406014","0","6"
"21743003084746","4","6"
"21743002426674","0","6"
"21743005541941","0","6"
"21743004014742","0","6"
"21743004031498","2","6"
"21743003977675","6","6"
"21743004883658","12","6"
"21743004822060","1","6"
"21743004104360","10","6"
"21743005046685","2","6"
"21743004717930","0","6"
"21743004048773","0","6"
"21743005576632","1","6"
"21743004672374","0","6"
"21743004091112","2","6"
"21743003999265","0","6"
"21743002340420","6","6"
"21743004090502","10","6"
"21743001449891","2","6"
"21743003219540","4","6"
"21743005375928","0","6"
"21743003979853","0","6"
"21743005182936","0","6"
"21743005222930","2","6"
"21743004562765","2","6"
"21743003988516","8","6"
"21743004044186","2","6"
"21743001225135","2","6"
"21743001278530","0","6"
"21743001256577","0","6"
"21743005677398","2","6"
"21743002727014","0","6"
"21743005722905","2","6"
"21743005676044","1","6"
"21743005625918","0","6"
"21743005284724","0","6"
"21743005525811","0","6"
"21743005695010","6","5"
"21743005623509","4","5"
"21743005430624","0","5"
"21743005543772","0","5"
"21743005293220","0","5"
"21743005683271","8","5"
"21743003994571","0","5"
