id,checkouts,vendor,rundate,month,year
1245013,67,od,3/1/2019,2,2019
1217033,59,od,3/1/2019,2,2019
1248870,37,od,3/1/2019,2,2019
21743005282116,32,od,3/1/2019,2,2019
21743005096458,32,od,3/1/2019,2,2019
1035799,31,od,3/1/2019,2,2019
21743005144738,29,od,3/1/2019,2,2019
21743004861258,29,od,3/1/2019,2,2019
21743005442074,28,od,3/1/2019,2,2019
21743003172285,28,od,3/1/2019,2,2019
21743004959797,28,od,3/1/2019,2,2019
21743005055520,27,od,3/1/2019,2,2019
21743004673216,27,od,3/1/2019,2,2019
21743004802518,27,od,3/1/2019,2,2019
21743005014964,27,od,3/1/2019,2,2019
1193204,27,od,3/1/2019,2,2019
1113991,27,od,3/1/2019,2,2019
21743005444054,25,od,3/1/2019,2,2019
1248872,24,od,3/1/2019,2,2019
21743004100954,24,od,3/1/2019,2,2019
21743004979597,23,od,3/1/2019,2,2019
21743004005658,23,od,3/1/2019,2,2019
1107971,23,od,3/1/2019,2,2019
1032675,22,od,3/1/2019,2,2019
21743004950903,22,od,3/1/2019,2,2019
21743005204193,22,od,3/1/2019,2,2019
1270787,21,od,3/1/2019,2,2019
1264467,21,od,3/1/2019,2,2019
21743004682589,21,od,3/1/2019,2,2019
21743004872453,21,od,3/1/2019,2,2019
1070590,21,od,3/1/2019,2,2019
1218601,20,od,3/1/2019,2,2019
21743003994217,20,od,3/1/2019,2,2019
1238726,20,od,3/1/2019,2,2019
1257795,19,od,3/1/2019,2,2019
21743004922092,19,od,3/1/2019,2,2019
21743001721455,19,od,3/1/2019,2,2019
1147031,19,od,3/1/2019,2,2019
1190589,18,od,3/1/2019,2,2019
21743004012365,18,od,3/1/2019,2,2019
21743003492469,17,od,3/1/2019,2,2019
21743005002696,17,od,3/1/2019,2,2019
21743000719872,17,od,3/1/2019,2,2019
21743004502845,17,od,3/1/2019,2,2019
21743003958725,16,od,3/1/2019,2,2019
21743004080081,16,od,3/1/2019,2,2019
1260951,16,od,3/1/2019,2,2019
1237551,16,od,3/1/2019,2,2019
21743005669130,16,od,3/1/2019,2,2019
21743005564224,16,od,3/1/2019,2,2019
1085806,16,od,3/1/2019,2,2019
1001855,16,od,3/1/2019,2,2019
1088915,15,od,3/1/2019,2,2019
1215237,15,od,3/1/2019,2,2019
21743005730346,15,od,3/1/2019,2,2019
1240525,15,od,3/1/2019,2,2019
1258222,15,od,3/1/2019,2,2019
1270451,15,od,3/1/2019,2,2019
21743004902367,15,od,3/1/2019,2,2019
21743004565750,15,od,3/1/2019,2,2019
21743004112272,15,od,3/1/2019,2,2019
21743003476017,15,od,3/1/2019,2,2019
21743005090683,14,od,3/1/2019,2,2019
21743004709978,14,od,3/1/2019,2,2019
21743003113545,14,od,3/1/2019,2,2019
21743004805677,14,od,3/1/2019,2,2019
1229985,14,od,3/1/2019,2,2019
1247897,14,od,3/1/2019,2,2019
1088147,14,od,3/1/2019,2,2019
1069509,14,od,3/1/2019,2,2019
1054664,13,od,3/1/2019,2,2019
1043419,13,od,3/1/2019,2,2019
1219258,13,od,3/1/2019,2,2019
1147899,13,od,3/1/2019,2,2019
1181455,13,od,3/1/2019,2,2019
1177984,13,od,3/1/2019,2,2019
1167369,13,od,3/1/2019,2,2019
1158516,13,od,3/1/2019,2,2019
1249660,13,od,3/1/2019,2,2019
1232678,13,od,3/1/2019,2,2019
1259625,13,od,3/1/2019,2,2019
