P BARCODE,P TYPE,HOME LIBR,RECORD #
"21743004589602","0","a","p10308301"
"21743004823969","2","m","p10313606"
"21743003232048","2","c","p10313916"
"21743004036364","2","a","p10315524"
"21743004644506","2","r","p10318458"
"21743004700142","0","m","p10320465"
"21743003326238","2","m","p1032169x"
"21743001108661","0","a","p10322231"
"21743004005807","8","n","p1032298x"
"21743001112028","8","n","p10323260"
"21743004682399","0","c","p10326753"
"21743004544904","0","a","p10328580"
"21743004090528","0","r","p10330112"
"21743004063731","2","a","p10330859"
"21743002274314","0","c","p10331190"
"21743001134055","0","a","p10331943"
"21743001138866","0","m","p10333812"
"21743001142942","10","s","p10335481"
"21743001145275","8","n","p10336114"
"21743004038808","2","a","p1034536x"
"21743004543294","0","a","p10348281"
"21743001177880","0","m","p10348669"
"21743003979721","0","m","p1035153x"
"21743003411691","0","m","p10353161"
"21743003350337","2","m","p10355261"
"21743001192012","12","drive","p10355571"
"21743001192590","0","r","p10355893"
"21743001197409","8","m","p10357993"
"21743004006201","2","m","p1035850x"
"21743004682365","0","c","p10358547"
"21743001199421","0","r","p10358973"
"21743004710364","0","r","p10359679"
"21743004054045","0","r","p1036027x"
"21743003762788","10","s","p10361753"
"21743005090683","2","m","p10362721"
"21743004714259","0","a","p10364626"
"21743004836813","8","m","p10366064"
"21743004884599","2","m","p10368759"
"21743001222314","2","a","p10369338"
"21743003722147","0","m","p10370493"
"21743001225135","2","m","p1037078x"
"21743003901329","2","m","p10371072"
"21743001227768","0","m","p1037193x"
"21743003570520","2","m","p10372647"
"21743004949525","2","m","p10373834"
"21743003702305","2","r","p10373937"
"21743003350261","2","m","p10376239"
"21743004611323","0","a","p10376355"
"21743005098785","0","drive","p10376732"
"21743003626561","0","drive","p10377050"
"21743004032512","19","r","p10377499"
"21743001241025","0","r","p10377748"
"21743004090742","0","c","p10381284"
"21743003994670","0","r","p10381521"
"21743005276894","0","r","p10383803"
"21743005730379","0","m","p10384145"
"21743001256304","0","m","p1038456x"
"21743001256577","0","r","p10384741"
"21743003979275","0","r","p10385010"
"21743004952917","0","a","p10387511"
"21743004008579","4","g","p10387742"
"21743003979192","4","r","p1039221x"
"21743004596862","10","g","p10393377"
"21743004055935","0","r","p10393912"
"21743004875316","0","a","p10395477"
"21743004029633","0","r","p1039591x"
"21743001278530","0","a","p1039686x"
"21743003382405","0","r","p10396962"
"21743004088126","0","r","p10397425"
"21743003498235","2","r","p10397607"
"21743001290592","6","l","p10402433"
"21743004054284","2","m","p10402986"
"21743005372909","0","m","p10403322"
"21743001298132","2","a","p10404983"
"21743004563078","0","r","p10406943"
"21743003982030","0","m","p10407960"
"21743004032934","0","m","p10408459"
"21743004512992","2","m","p10409051"
"21743004092789","0","c","p1040918x"
"21743004038345","0","c","p10410533"
"21743003362183","0","c","p10412189"
"21743003984366","2","r","p10413121"
"21743004745394","2","m","p10414228"
"21743003360773","0","m","p10416882"
"21743004044186","2","m","p10419524"
"21743005665682","2","m","p10423709"
"21743001340538","0","r","p10424350"
"21743005369913","10","g","p10428227"
"21743001347871","0","r","p10429037"
"21743001350149","0","r","p10430593"
"21743004031803","0","r","p10431081"
"21743003018140","2","m","p10431536"
"21743005074687","0","r","p1043401x"
"21743003352499","0","r","p10434197"
"21743004022307","0","r","p10434835"
"21743004034047","0","r","p1043558x"
"21743005447479","0","m","p1043561x"
"21743004513743","6","r","p10435852"
"21743004959532","0","r","p10436133"
"21743004040937","2","r","p10440410"
"21743004040903","0","r","p1044130x"
"21743004026878","0","m","p10442728"
"21743003988516","8","n","p10444415"
"21743005603550","0","s","p10445146"
"21743001377886","0","drive","p10446606"
"21743005726120","0","m","p10447027"
"21743005320593","2","r","p10448597"
"21743005328448","0","s","p10449760"
"21743003997772","0","r","p10450889"
"21743004039194","0","drive","p10451225"
"21743004829198","0","a","p10452795"
"21743001393164","18","c","p10456405"
"21743002420206","6","l","p10459984"
"21743001400571","6","l","p10460007"
"21743001401025","6","l","p10460196"
"21743004096129","6","l","p10462430"
"21743003524386","6","l","p10463847"
"21743001417732","6","l","p10467300"
"21743001421874","6","l","p10469606"
"21743005066691","6","l","p10474109"
"21743004016929","4","g","p10478516"
"21743004680799","2","a","p10482283"
"21743005082821","4","g","p10483147"
"21743001445477","0","c","p10484127"
"21743001447762","0","a","p10485004"
"21743001449891","2","drive","p10485855"
"21743001454941","8","n","p10488285"
"21743003900727","2","m","p10489265"
"21743003822632","2","m","p10489629"
"21743003468345","8","r","p10494145"
"21743003219540","4","r","p10496890"
"21743004922092","0","c","p10498461"
"21743003997897","0","c","p10498898"
"21743001473552","4","a","p10499568"
"21743003786068","0","a","p1049988x"
"21743004733598","0","a","p10500108"
"21743001477553","0","m","p10502191"
"21743004087326","0","r","p10502506"
"21743001479161","0","a","p10503286"
"21743004067476","2","m","p10505659"
"21743001483833","0","m","p10506184"
"21743005037205","2","m","p10506494"
"21743005556659","0","s","p10508582"
"21743003727120","0","m","p10510229"
"21743004082129","4","g","p10510989"
"21743001492024","0","m","p10511234"
"21743004564712","0","m","p10511775"
"21743003852928","0","m","p1051269x"
"21743004016291","4","g","p10512779"
"21743003630340","2","m","p1051305x"
"21743001498286","0","c","p10515136"
"21743004937264","12","r","p10515173"
"21743001498674","0","c","p10515379"
"21743004784781","4","g","p10516256"
"21743003998200","0","c","p10518812"
"21743002933265","0","c","p10519208"
"21743001510783","0","r","p10522220"
"21743004502845","0","m","p10525403"
"21743001523810","0","a","p1052812x"
"21743001524115","2","a","p10528246"
"21743001524347","0","r","p10528362"
"21743003804168","0","m","p10530988"
"21743003998606","0","c","p10532481"
"21743003531472","4","g","p10533928"
"21743005250535","8","n","p10534714"
"21743004533741","0","m","p10536565"
"21743003391539","0","m","p10542450"
"21743004042859","0","a","p10544811"
"21743004024121","0","s","p10545074"
"21743003746302","2","r","p10546649"
"21743001562172","4","g","p10548312"
"21743005468590","0","m","p10549031"
"21743004923199","0","r","p10553642"
"21743005111430","6","c","p10554853"
"21743005457924","0","c","p10555067"
"21743001572734","0","c","p10555237"
"21743003676517","0","r","p10556692"
"21743005138938","2","m","p10556850"
"21743005142609","0","c","p10557283"
"21743004586566","0","m","p10558147"
"21743001578798","2","m","p10559152"
"21743001579044","0","c","p10559292"
"21743003227899","0","r","p10570202"
"21743004036323","0","r","p10570779"
"21743001597574","4","r","p10570792"
"21743003224128","0","r","p10570846"
"21743004040671","2","m","p10573355"
"21743003985991","4","g","p10574013"
"21743001603000","4","g","p10574281"
"21743003476595","0","m","p1057511x"
"21743001604743","12","x","p10575479"
"21743004097192","0","m","p10576204"
"21743003988938","2","m","p10576290"
"21743004062600","0","r","p10576447"
"21743005296363","0","m","p10578705"
"21743001612415","2","r","p10579357"
"21743005190699","0","m","p10580712"
"21743002388247","0","m","p10583762"
"21743001623768","0","a","p10584456"
"21743004960449","0","r","p10585023"
"21743004090502","10","m","p10590213"
"21743004070959","2","a","p10590961"
"21743001635770","0","r","p10591692"
"21743004037099","0","m","p10592015"
"21743005336888","0","m","p10593391"
"21743001639533","0","m","p10594206"
"21743004023495","0","m","p10595296"
"21743004055760","0","r","p10596148"
"21743001646728","2","m","p10598273"
"21743003978863","2","r","p10599332"
"21743002928794","0","r","p1059971x"
"21743004000113","2","a","p10601521"
"21743004088928","0","r","p10602525"
"21743004055323","0","s","p10607961"
"21743002900306","4","g","p10609581"
"21743001668631","8","n","p10613146"
"21743004782280","0","drive","p10615179"
"21743003979853","0","r","p1061686x"
"21743005625447","2","a","p10616998"
"21743004032140","0","r","p10617875"
"21743001675990","0","r","p10618776"
"21743003997301","0","r","p10619707"
"21743003228715","0","r","p10621015"
"21743001682251","0","a","p10623826"
"21743004040598","0","m","p1062479x"
"21743005375928","0","a","p10627261"
"21743004026217","0","a","p1062806x"
"21743005270673","2","m","p10628836"
"21743004836466","0","a","p10629804"
"21743005354386","4","c","p10630430"
"21743004575072","0","m","p10633406"
"21743004589040","8","n","p10633868"
"21743003109097","0","r","p10634113"
"21743004033338","0","r","p10634642"
"21743004710778","0","r","p1063616x"
"21743004547188","8","n","p10637163"
"21743004543583","0","s","p1063762x"
"21743003982154","2","m","p10637965"
"21743005178553","2","a","p10638179"
"21743001705805","12","c","p10639780"
"21743004012365","2","c","p10641087"
"21743001708866","2","m","p10642110"
"21743004036679","2","m","p10647211"
"21743002739654","0","c","p10650842"
"21743001720689","0","c","p10651354"
"21743005481056","0","c","p10651482"
"21743001721455","0","c","p10652012"
"21743004553558","8","s","p10652048"
"21743001724632","0","c","p10654446"
"21743004712717","0","drive","p10657575"
"21743003990512","4","r","p10665791"
"21743003113545","0","m","p10667702"
"21743003902939","2","m","p1066807x"
"21743001743673","0","r","p10668147"
"21743001747252","0","s","p10670208"
"21743004084679","0","x","p10670907"
"21743001749290","2","a","p10671638"
"21743001749555","2","a","p10671869"
"21743004093225","2","m","p10672497"
"21743005477302","0","r","p10674512"
"21743004688206","2","m","p10674561"
"21743004622858","0","r","p10674706"
"21743004087193","0","m","p10676399"
"21743004536348","0","m","p10676569"
"21743001758804","0","m","p10677847"
"21743003984945","2","m","p10678426"
"21743005246616","0","r","p10687324"
"21743003625787","2","m","p10690633"
"21743001776111","4","r","p10690748"
"21743004783031","0","m","p10690785"
"21743001777333","0","r","p10691765"
"21743004032041","0","r","p10692149"
"21743003995396","0","a","p10695096"
"21743003994548","0","m","p10697433"
"21743005099163","0","a","p1069898x"
"21743004920955","0","a","p10700559"
"21743004846333","0","c","p10700572"
"21743004089785","2","m","p10701072"
"21743004034302","0","c","p10701096"
"21743005279013","4","m","p10702544"
"21743004882148","0","r","p10705909"
"21743002688240","0","r","p10707220"
"21743003995917","0","drive","p10709630"
"21743004626107","2","a","p10710127"
"21743003996428","0","a","p10710395"
"21743004750170","0","a","p10711041"
"21743004807046","0","c","p10712409"
"21743003165404","0","c","p10712513"
"21743003976859","2","m","p10712574"
"21743005191481","0","c","p10712847"
"21743004059796","0","a","p10720455"
"21743005661921","0","m","p10720480"
"21743001817642","13","m","p10720972"
"21743004588281","2","a","p10721241"
"21743001820497","0","c","p10723067"
"21743004682639","0","c","p10724023"
"21743004038188","0","c","p10724047"
"21743005148903","0","c","p10724448"
"21743004882122","0","r","p10724771"
"21743001824465","0","c","p10726160"
"21743003172392","0","c","p10726470"
"21743004015293","12","m","p10728053"
"21743001827419","0","m","p1072851x"
"21743001827617","0","m","p10728685"
"21743004093142","2","drive","p10728971"
"21743003157559","0","a","p10729653"
"21743001830769","6","l","p10731246"
"21743002729358","0","r","p10734260"
"21743004088381","0","c","p10736414"
"21743003973724","2","r","p10737133"
"21743001839612","0","r","p10737765"
"21743004746384","10","s","p10738551"
"21743003985637","2","m","p10741586"
"21743004853396","2","m","p10741963"
"21743004092599","2","r","p10742426"
"21743001868462","2","m","p10742487"
"21743005000427","2","m","p10744617"
"21743005730346","2","m","p10745683"
"21743003902723","2","m","p10746808"
"21743004544144","0","m","p10747539"
"21743001877604","0","m","p10749330"
"21743005306378","0","drive","p10750174"
"21743004034971","0","m","p10750939"
"21743003817509","2","m","p10751804"
"21743004884185","0","r","p10753655"
"21743005118385","2","m","p10755081"
"21743005543186","0","m","p10756346"
"21743005260245","2","m","p10758148"
"21743001889989","0","m","p10758707"
"21743003945391","6","l","p10764252"
"21743002987444","6","l","p10765372"
"21743001902089","6","l","p10768075"
"21743001905389","6","l","p10770872"
"21743005560941","0","r","p10772625"
"21743002312536","0","r","p10773654"
"21743003978723","0","a","p10775778"
"21743003979077","0","r","p10777775"
"21743005477997","19","r","p10779243"
"21743001926708","0","r","p10779395"
"21743004950358","4","r","p10781705"
"21743005298872","0","r","p10783866"
"21743004624961","0","m","p10784263"
"21743004033999","0","r","p10785863"
"21743004010351","4","g","p10787732"
"21743005218672","0","m","p10788128"
"21743004081360","4","g","p10792582"
"21743003986049","4","g","p10792594"
"21743004659496","4","m","p10793008"
"21743004016382","4","g","p10793938"
"21743003149226","4","g","p10794116"
"21743002420412","4","g","p10798286"
"21743003708179","10","g","p10798535"
"21743004008298","4","g","p10801480"
"21743004898607","8","n","p10803932"
"21743005660824","8","n","p10805461"
"21743002457083","8","n","p10806258"
"21743004546826","8","n","p10808607"
"21743002894863","8","n","p10809417"
"21743004546933","8","n","p10812210"
"21743002003747","2","m","p10814395"
"21743002003960","8","n","p10814607"
"21743002004042","0","n","p10814681"
"21743004603718","8","n","p10815430"
"21743003994720","0","drive","p10815922"
"21743004032181","0","r","p10815971"
"21743005147681","2","m","p10816288"
"21743005268461","0","m","p10817992"
"21743004015723","0","m","p10821041"
"21743004813093","2","a","p10821302"
"21743002896645","8","n","p10821776"
"21743002023182","0","m","p10822276"
"21743002577591","2","m","p10822549"
"21743004066064","2","m","p10822835"
"21743004843926","2","a","p10823499"
"21743004088050","2","m","p10824054"
"21743004592051","0","m","p10824200"
"21743004015368","0","m","p10824248"
"21743004041851","0","r","p1082456x"
"21743001549906","0","a","p10825885"
"21743002909315","2","m","p10829738"
"21743004021747","8","n","p10835295"
"21743003996832","0","r","p10848666"
"21743005562392","0","r","p10850934"
"21743005273842","0","r","p10851938"
"21743002075372","2","r","p10853595"
